what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.7.0_07",1378406817565
java.vm.info,sysinfo,,,"mixed mode",1378406817565
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1378406817565
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1378406817565
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1378406817565
java.vm.specification.version,sysinfo,,,"1.7",1378406817565
java.vm.vendor,sysinfo,,,"Oracle Corporation",1378406817565
java.vm.version,sysinfo,,,"23.3-b01",1378406817565
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1378406817749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406825094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406830173
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1378406830209
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406832305
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406832366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406836765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406856270
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406856433
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406856477
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406856566
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406856611
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1378406856611
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406858280
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1378406859902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378406862390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378407066477
